,0,1,2,,DATEPRD,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,,,,,
0,1065.215,163982.3,30.267572,,7/24/13,17.85,2772.47,10,,1,17.85,2772.47,10
1,1008.39185,156701.55,17.681473,,7/25/13,725,108940.11,10,,2,725,108940.11,10
2,966.7472,150531.9,22.848475,,7/31/13,190.35,29119.73,10,,3,190.35,29119.73,10
3,1050.571,161706.2,64.67548,,8/3/13,590.09,88733.42,10,,4,590.09,88733.42,10
4,1056.2468,162046.34,78.28942,,8/4/13,1066.46,161227,10,,5,1066.46,161227,10
5,1058.9513,162398.38,80.07911,,8/5/13,1059.61,160270.49,10,,6,1059.61,160270.49,10
6,1059.1118,162341.14,80.53876,,8/6/13,1070.45,160951.3,10,,7,1070.45,160951.3,10
7,1059.0747,162275.88,80.95975,,8/7/13,1069.96,160232.47,10,,8,1069.96,160232.47,10
8,1059.5194,162285.61,81.45247,,8/8/13,1062.22,159483.76,10,,9,1062.22,159483.76,10
9,1058.2694,162096.12,81.44785,,8/9/13,1074,162196.78,10,,10,1074,162196.78,10
10,1057.3031,161975.27,81.27876,,8/10/13,1070.3,161999.01,10,,11,1070.3,161999.01,10
11,1057.1571,161933.66,82.0753,,8/11/13,1054.09,160095.11,10,,12,1054.09,160095.11,10
12,1055.1465,161445.11,82.64217,,8/12/13,1038.69,159050.28,10,,13,1038.69,159050.28,10
13,1002.6301,153953.52,71.74651,,8/13/13,1050.89,160116.29,10,,14,1050.89,160116.29,10
14,716.1834,115936.766,28.31535,,8/14/13,1044.55,158506.74,10,,15,1044.55,158506.74,10
15,892.97565,136607.69,14.558655,,8/15/13,1044.6,158971.52,10,,,1065.215,163982.3,30.267572
16,1067.5087,164688.06,116.86287,,8/16/13,1075.73,162409.96,10,,,1008.39185,156701.55,17.681473
17,1097.2483,166459.39,88.34346,,8/17/13,1088.86,165357.19,10,,,966.7472,150531.9,22.848475
18,1147.1025,174055.31,108.72757,,8/18/13,1041.92,158398.44,10,,,1050.571,161706.2,64.67548
19,1116.7445,172636.77,107.03156,,8/19/13,1047.06,158556.68,69.06,,,1056.2468,162046.34,78.28942
20,1154.8384,173744.67,129.6185,,8/20/13,1024.24,156092.13,68.7,,,1058.9513,162398.38,80.07911
21,1167.2848,179169.05,123.91255,,8/21/13,1050.43,160102.74,69.5,,,1059.1118,162341.14,80.53876
22,1100.2294,167510,109.15643,,8/22/13,1045.41,158664.64,72.24,,,1059.0747,162275.88,80.95975
23,1104.1876,168940.1,88.450386,,8/23/13,1038.88,159070.89,69.27,,,1059.5194,162285.61,81.45247
24,1114.3774,173828.9,70.402504,,8/24/13,1030.14,158003.56,70.68,,,1058.2694,162096.12,81.44785
25,958.93677,149945.11,27.207424,,8/25/13,1029.58,157310.71,70.86,,,1057.3031,161975.27,81.27876
26,943.6921,147894.17,29.065933,,8/26/13,1030.05,157362.26,71.34,,,1057.1571,161933.66,82.0753
27,1097.1902,169959.2,108.58785,,8/27/13,697.86,108778.94,48.36,,,1055.1465,161445.11,82.64217
28,863.6665,135584.66,57.485413,,9/2/13,15.16,2666.4,10.89,,,1002.6301,153953.52,71.74651
29,934.26495,143642.97,71.88153,,9/3/13,940.96,146563.91,64.05,,,716.1834,115936.766,28.31535
30,890.8824,139369.58,69.03775,,9/4/13,969.43,151072.95,67.78,,,892.97565,136607.69,14.558655
31,904.62695,139679.6,72.91052,,9/5/13,1016.4,157401.48,73.51,,,1067.5087,164688.06,116.86287
32,1043.658,161818.83,79.498726,,9/6/13,1156.84,176758.83,91.73,,,1097.2483,166459.39,88.34346
33,1102.4075,168157.62,91.30507,,9/7/13,1150.65,175762.3,92.15,,,1147.1025,174055.31,108.72757
34,1122.6869,171507.97,73.197395,,9/8/13,1140.41,173484.15,91.66,,,1116.7445,172636.77,107.03156
35,1175.4608,178846.92,83.99942,,9/9/13,1109.4,169280.73,88.84,,,1154.8384,173744.67,129.6185
36,1168.0037,180639.33,65.71631,,9/10/13,1118.97,170574.2,90.99,,,1167.2848,179169.05,123.91255
37,945.8653,146752.47,44.800636,,9/11/13,1102.58,168495.87,90.65,,,1100.2294,167510,109.15643
38,989.51807,153493.12,49.706963,,9/12/13,809.9,126489.15,66.96,,,1104.1876,168940.1,88.450386
39,1013.14087,157408.64,58.043633,,9/14/13,329.15,47182.51,60.97,,,1114.3774,173828.9,70.402504
40,1147.0928,176095.19,61.18784,,9/15/13,982.21,150589.13,79.69,,,958.93677,149945.11,27.207424
41,1174.2468,180282.92,44.802086,,9/16/13,947.47,146223.47,68.4,,,943.6921,147894.17,29.065933
42,1140.688,175859.27,34.4356,,9/17/13,1042,161132.48,71.02,,,1097.1902,169959.2,108.58785
43,1120.2842,171200.95,38.72694,,9/18/13,474.31,74879.68,38.5,,,863.6665,135584.66,57.485413
44,1151.9747,176157.28,88.13761,,9/20/13,642.66,96484.07,61.78,,,934.26495,143642.97,71.88153
45,1119.5419,172017.77,91.46151,,9/21/13,309.88,49034.32,27.86,,,890.8824,139369.58,69.03775
46,1105.0858,168869.27,96.93159,,9/22/13,1034.51,158716.07,80.46,,,904.62695,139679.6,72.91052
47,1131.4337,174256.69,92.66791,,9/23/13,1074.59,164937.58,73.63,,,1043.658,161818.83,79.498726
48,1160.7604,178515.94,82.47601,,9/24/13,1142.53,176048.5,79.09,,,1102.4075,168157.62,91.30507
49,1106.3865,170352.23,66.863396,,9/25/13,1107.51,170940.18,76.64,,,1122.6869,171507.97,73.197395
50,1066.5809,164526.08,56.501667,,9/26/13,1124.52,173512.2,77.6,,,1175.4608,178846.92,83.99942
51,962.29504,148988.52,49.05345,,9/27/13,299.46,49540.21,27.92,,,1168.0037,180639.33,65.71631
52,877.44196,136127.34,59.58016,,9/28/13,380.03,59608.43,30.69,,,945.8653,146752.47,44.800636
53,998.3475,153063.34,85.798416,,9/29/13,1158.6,179470.15,80.99,,,989.51807,153493.12,49.706963
54,1080.3777,165791.03,110.67453,,9/30/13,1194.95,184725.05,79.16,,,1013.14087,157408.64,58.043633
55,1092.152,165186.97,100.82241,,10/1/13,1195.94,184617.7,93.62,,,1147.0928,176095.19,61.18784
56,1091.6028,165402.44,113.84028,,10/2/13,1249.05,193060.02,83.75,,,1174.2468,180282.92,44.802086
57,1079.6497,164824.03,110.55089,,10/3/13,1245.28,193256.1,78.73,,,1140.688,175859.27,34.4356
58,1123.5907,170274.12,118.22941,,10/4/13,1242.87,192685.13,77.04,,,1120.2842,171200.95,38.72694
59,1136.3197,174058.6,117.77533,,10/5/13,1235.41,189860.71,76.59,,,1151.9747,176157.28,88.13761
60,1112.911,169216.23,104.37312,,10/6/13,1256.2,192813.97,75.96,,,1119.5419,172017.77,91.46151
61,1124.099,172459.28,96.40045,,10/7/13,1251.09,192967.65,78.52,,,1105.0858,168869.27,96.93159
