,ON_STREAM_HRS,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,DP_CHOKE_SIZE,AVG_WHP_P,AVG_WHT_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
1911,11.5,201.2500004347826,14.484431304347826,92.47510695652174,106.80593913043478,16.294718260869566,284.65,38888.67,385.01
1912,24.0,182.14494208333332,22.832986458333334,89.6201475,120.88857604166667,53.37432979166667,1869.7,285246.16,17.13
1913,22.5,181.86788666666666,31.249966444444443,80.12046511111112,113.71817466666667,72.73763088888889,3124.09,509954.88,11.16
1914,23.15,180.8320604535637,28.51893021276596,84.25099043196545,116.83064166306696,69.99594339092873,2608.28,383426.67,10.97
1915,24.0,180.50104479166666,30.227902291666666,82.35902625,115.43447416666666,71.51834708333334,3051.8,418474.0,14.89
1916,24.0,180.34578083333332,29.974052083333333,82.16850104166667,115.20587645833334,73.64180020833334,2982.63,422763.0,11.85
1917,23.0,180.92924760869565,30.30840304347826,80.26304456521738,113.2818152173913,74.16015652173913,2980.52,413831.0,16.48
1918,24.0,180.06011520833334,30.486976666666667,81.27494916666667,113.76912791666666,74.90183854166666,3046.19,429218.0,10.73
1919,24.0,179.66174354166668,29.907024375,80.77392092198582,113.39973666666667,73.03901723404255,3057.18,442982.75,10.46
1920,24.0,179.433895,30.49301125,79.975169375,113.10635208333333,71.7374875,3030.33,423809.16,10.45
1921,23.66666,179.2822295892872,29.634476666666668,79.94799810529665,113.07932925762232,72.32731583740164,2907.56,397808.0,10.44
1922,15.14167,179.4856978094028,28.957179677419354,79.1622193134641,112.60272618715769,69.59702344933551,1851.72,252078.0,10.28
1923,24.0,179.35469375,30.799615416666665,77.93204895833334,111.18693166666667,73.19259291666667,3126.7,442808.0,10.47
1924,24.0,178.758408125,30.683435208333332,78.256700625,111.44973583333334,73.10786583333334,3045.54,439178.0,10.46
1925,24.0,178.60267479166666,30.923040416666666,77.72319291666666,110.93350979166667,72.30784145833333,3046.54,446905.0,10.46
1926,24.0,178.60774625,30.849319375,77.12799333333334,110.32551666666667,74.70248166666667,3035.54,445616.0,10.46
1927,23.66666,178.21955504262536,29.900441458333333,77.46549030672685,110.62871036087053,73.45067011961976,2971.55,424674.0,10.45
1928,24.0,178.06743958333334,31.0238775,76.21154791666666,109.446906875,73.39583479166667,3070.54,450348.0,10.46
1929,24.0,178.06476229166665,31.061881458333332,75.57316458333334,108.82683041666667,74.60420416666666,3068.48,447584.12,10.46
1930,24.0,177.943628125,31.087440625,74.76162354166667,108.32104791666667,75.21838166666667,3066.54,446144.0,10.46
1931,24.0,177.66862104166665,30.964471666666668,74.36059666666667,108.05924354166666,75.12426770833333,3043.54,443726.0,10.46
1932,24.0,177.30688125,30.60221479166667,74.440533125,108.07511520833333,74.28098166666666,2983.19,430246.72,10.45
1933,24.0,176.95958916666666,30.576489375,74.26244208333334,107.86928604166667,72.50000458333334,2967.05,437688.2,10.45
1934,24.0,176.98435708333332,30.588812291666667,73.37481875,107.31038708333334,75.002263125,2950.88,432727.0,11.74
1935,22.83333,176.6699935935582,28.82495914893617,73.56844323040923,107.75368845286255,71.04161479623866,2656.62,391264.6,11.57
1936,23.0,176.38169897861303,27.948245625,73.79513616954348,108.03144662615652,69.25238060082174,2578.48,365769.0,11.52
1937,24.0,176.45656520833333,31.159112291666666,71.56222083333333,105.929501875,73.13843854166667,2996.83,427791.0,11.77
1938,24.0,176.232611875,31.305012916666666,71.062263125,105.28964604166667,73.336445625,3021.4,440679.0,10.6
1939,24.0,176.083680625,31.370029791666667,71.28340645833333,104.81075833333334,73.97056604166667,3010.4,450972.0,10.6
1940,23.775,176.0320423449001,29.858670416666666,71.86801609884333,105.05287027339642,73.8896192849632,2794.44,418887.0,10.56
