,0,1,2,,DATEPRD,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,,,,,
0,4006.2683,568461.56,433.52414,,7/13/08,1735.26,252235.23,14,,1,1735.26,252235.23,14
1,3955.13,561481.44,441.28784,,7/14/08,592.36,88949,11.37,,2,592.36,88949,11.37
2,4012.7761,569353.6,446.37823,,7/15/08,2532.21,373786.28,15.84,,3,2532.21,373786.28,15.84
3,3968.75,562726.2,434.57898,,7/16/08,3030.71,447840.09,19.13,,4,3030.71,447840.09,19.13
4,3948.975,559345.25,427.23022,,7/17/08,3288.08,474614.43,17.58,,5,3288.08,474614.43,17.58
5,3948.8616,558618,432.13455,,7/18/08,2780.06,410359.82,21.05,,6,2780.06,410359.82,21.05
6,3932.6426,555773,431.35443,,7/19/08,2774.38,420865.05,16.4,,7,2774.38,420865.05,16.4
7,3910.0952,552190.3,421.4113,,7/20/08,2791.01,408766.41,16.43,,8,2791.01,408766.41,16.43
8,3885.7341,548335.7,396.71597,,7/21/08,2743.1,402199.56,16.32,,9,2743.1,402199.56,16.32
9,3862.5754,544411.25,361.62424,,7/22/08,2717.44,399221.04,16.45,,10,2717.44,399221.04,16.45
10,3844.2075,541369.56,325.35886,,7/23/08,2745.51,403771,16.38,,11,2745.51,403771,16.38
11,3839.9016,539599.1,296.47055,,7/24/08,2762.59,413309.67,16.4,,12,2762.59,413309.67,16.4
12,3845.9648,539277.75,284.28323,,7/25/08,2763.68,402430.02,16.43,,13,2763.68,402430.02,16.43
13,3853.01,540313.2,298.12747,,7/26/08,2759.3,404995.2,16.39,,14,2759.3,404995.2,16.39
14,3872.5813,544592.2,335.53656,,7/27/08,2732.34,400145.03,16.28,,15,2732.34,400145.03,16.28
15,3894.7888,550645.4,385.31415,,7/28/08,2762.74,405191.14,16.35,,16,2762.74,405191.14,16.35
16,3903.8042,554459.1,430.57053,,7/29/08,2670.67,391242.72,18.82,,17,2670.67,391242.72,18.82
17,3894.812,553915.75,458.83408,,7/30/08,3553.37,519134.99,18.19,,18,3553.37,519134.99,18.19
18,3914.742,556240.4,497.41605,,7/31/08,3550.27,519804.39,16.36,,19,3550.27,519804.39,16.36
19,3922.9824,557865.4,539.8812,,8/1/08,3118.92,457661.81,15,,20,3118.92,457661.81,15
20,3903.1633,555583.6,571.8645,,8/2/08,3057.91,449222.7,14.29,,21,3057.91,449222.7,14.29
21,3892.9912,554645.6,605.48834,,8/3/08,3111.44,455830.95,14.67,,22,3111.44,455830.95,14.67
22,3865.1912,550326.8,613.8251,,8/4/08,3019.3,441240.45,14.54,,23,3019.3,441240.45,14.54
23,3860.4734,548499.4,614.1415,,8/5/08,3135.89,457771.78,14.72,,24,3135.89,457771.78,14.72
24,3867.8354,548183.8,632.7635,,8/6/08,911.43,134051.24,11.37,,25,911.43,134051.24,11.37
25,3976.3933,561282.06,663.5938,,8/8/08,724.97,99367.94,11.09,,26,724.97,99367.94,11.09
26,3982.959,560076.1,678.77325,,8/9/08,3821.01,526296.56,15.68,,27,3821.01,526296.56,15.68
27,3997.4277,560929.25,700.44037,,8/10/08,4148.94,575329.6,16.27,,28,4148.94,575329.6,16.27
28,4025.3428,565078.3,725.35614,,8/11/08,4118.03,570958.86,16.17,,29,4118.03,570958.86,16.17
29,4053.8171,569910.4,745.43207,,8/12/08,4126.78,575615.74,16.2,,30,4126.78,575615.74,16.2
30,4070.2727,573212.25,761.55457,,8/13/08,3941.15,549953.08,17.54,,31,3941.15,549953.08,17.54
31,4072.4895,574486.06,777.66986,,8/14/08,3676.28,549990.93,33.12,,32,3676.28,549990.93,33.12
32,4057.2231,572986.25,794.2208,,8/15/08,3603.11,539411.93,48.42,,33,3603.11,539411.93,48.42
33,4029.7834,569027.06,801.3228,,8/16/08,3578.92,522217.2,41.26,,34,3578.92,522217.2,41.26
34,3992.3306,563008.94,800.6898,,8/17/08,3723.19,543934.14,46.88,,35,3723.19,543934.14,46.88
35,3954.4578,557034.5,795.1033,,8/18/08,3666.19,553186.01,22.37,,,4006.2683,568461.56,433.52414
36,3918.268,552119.6,787.7844,,8/19/08,3719.87,560845.2,16.89,,,3955.13,561481.44,441.28784
37,3892.8982,549478.9,786.9239,,8/20/08,4032.64,589848.54,17.67,,,4012.7761,569353.6,446.37823
38,3889.7659,550347,798.15497,,8/21/08,2911.25,423611.98,15.54,,,3968.75,562726.2,434.57898
39,3945.375,558666.5,827.41534,,8/31/08,1473.98,204185.7,12.84,,,3948.975,559345.25,427.23022
40,3953.5264,560119.2,830.152,,9/2/08,1345.44,187673.22,10.79,,,3948.8616,558618,432.13455
41,3955.2876,560094.06,812.94305,,9/3/08,2164.78,298774.41,10.8,,,3932.6426,555773,431.35443
42,3910.8296,553737.5,788.2283,,9/4/08,2186.74,302139.38,10.86,,,3910.0952,552190.3,421.4113
43,3872.5515,548531.5,779.28766,,9/5/08,2230.26,305847.41,10.81,,,3885.7341,548335.7,396.71597
44,3832.7341,542787.4,791.3461,,9/6/08,1442.19,199286.09,10.75,,,3862.5754,544411.25,361.62424
45,3828.6763,541739.7,817.1503,,9/8/08,1729.8,238728.06,11.23,,,3844.2075,541369.56,325.35886
46,3788.3164,535088.44,835.1483,,9/9/08,2272.65,194403.17,11.11,,,3839.9016,539599.1,296.47055
47,3689.8464,521097.44,818.6081,,9/10/08,4378.15,641009.67,15.68,,,3845.9648,539277.75,284.28323
48,3651.8289,516454.03,816.5241,,9/11/08,4813.99,700783.73,18.17,,,3853.01,540313.2,298.12747
