,DATEPRD,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,DP_CHOKE_SIZE,AVG_WHP_P,AVG_WHT_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL
9001,2007-09-01,,,,,,,,,,,,
9002,2007-09-02,,,,,,,,,,,,
9003,2007-09-03,,,,,,,,,,,,
9004,2007-09-04,,,,,,,,,,,,
9005,2007-09-05,,,,,,,,,,,,
9006,2007-09-06,,,,,,,,,,,,
9007,2007-09-07,,,,,,,,,,,,
9008,2007-09-08,,,,,,,,,,,,
9009,2007-09-09,,,,,,,,,,,,
9010,2007-09-10,,,,,,,,,,,,
9011,2007-09-11,,,,,,,,,,,,
9012,2007-09-12,,,,,,,,,,,,
9013,2007-09-13,,,,,,,,,,,,
9014,2007-09-14,,,,,,,,,,,,
9015,2007-09-15,,,,,,,,,,,,
9016,2007-09-16,,,,,,,,,,,,
9017,2007-09-17,,,,,,,,,,,,
9018,2007-09-18,,,,,,,,,,,,
9019,2007-09-19,,,,,,,,,,,,
9020,2007-09-20,,,,,,,,,,,,
9021,2007-09-21,,,,,,,,,,,,
9022,2007-09-22,,,,,,,,,,,,
9023,2007-09-23,,,,,,,,,,,,
9024,2007-09-24,,,,,,,,,,,,
9025,2007-09-25,,,,,,,,,,,,
9026,2007-09-26,,,,,,,,,,,,
9027,2007-09-27,,,,,,,,,,,,
9028,2007-09-28,,,,,,,,,,,,
9029,2007-09-29,,,,,,,,,,,,
9030,2007-09-30,,,,,,,,,,,,
9031,2007-10-01,,,,,,,,,,,,
9032,2007-10-02,,,,,,,,,,,,
9033,2007-10-03,,,,,,,,,,,,
9034,2007-10-04,,,,,,,,,,,,
9035,2007-10-05,,,,,,,,,,,,
9036,2007-10-06,,,,,,,,,,,,
9037,2007-10-07,,,,,,,,,,,,
9038,2007-10-08,,,,,,,,,,,,
9039,2007-10-09,,,,,,,,,,,,
9040,2007-10-10,,,,,,,,,,,,
9041,2007-10-11,,,,,,,,,,,,
9042,2007-10-12,,,,,,,,,,,,
9043,2007-10-13,,,,,,,,,,,,
9044,2007-10-14,,,,,,,,,,,,
9045,2007-10-15,,,,,,,,,,,,
9046,2007-10-16,,,,,,,,,,,,
9047,2007-10-17,,,,,,,,,,,,
9048,2007-10-18,,,,,,,,,,,,
9049,2007-10-19,,,,,,,,,,,,
9050,2007-10-20,,,,,,,,,,,,
9051,2007-10-21,,,,,,,,,,,,
9052,2007-10-22,,,,,,,,,,,,
9053,2007-10-23,,,,,,,,,,,,
9054,2007-10-24,,,,,,,,,,,,
9055,2007-10-25,,,,,,,,,,,,
9056,2007-10-26,,,,,,,,,,,,
9057,2007-10-27,,,,,,,,,,,,
9058,2007-10-28,,,,,,,,,,,,
9059,2007-10-29,,,,,,,,,,,,
9060,2007-10-30,,,,,,,,,,,,
9061,2007-10-31,,,,,,,,,,,,
9062,2007-11-01,,,,,,,,,,,,
9063,2007-11-02,,,,,,,,,,,,
9064,2007-11-03,,,,,,,,,,,,
9065,2007-11-04,,,,,,,,,,,,
9066,2007-11-05,,,,,,,,,,,,
9067,2007-11-06,,,,,,,,,,,,
9068,2007-11-07,,,,,,,,,,,,
9069,2007-11-08,,,,,,,,,,,,
9070,2007-11-09,,,,,,,,,,,,
9071,2007-11-10,,,,,,,,,,,,
9072,2007-11-11,,,,,,,,,,,,
9073,2007-11-12,,,,,,,,,,,,
9074,2007-11-13,,,,,,,,,,,,
9075,2007-11-14,,,,,,,,,,,,
9076,2007-11-15,,,,,,,,,,,,
9077,2007-11-16,,,,,,,,,,,,
9078,2007-11-17,,,,,,,,,,,,
9079,2007-11-18,,,,,,,,,,,,
9080,2007-11-19,,,,,,,,,,,,
9081,2007-11-20,,,,,,,,,,,,
9082,2007-11-21,,,,,,,,,,,,
9083,2007-11-22,,,,,,,,,,,,
9084,2007-11-23,,,,,,,,,,,,
9085,2007-11-24,,,,,,,,,,,,
9086,2007-11-25,,,,,,,,,,,,
9087,2007-11-26,,,,,,,,,,,,
9088,2007-11-27,,,,,,,,,,,,
9089,2007-11-28,,,,,,,,,,,,
9090,2007-11-29,,,,,,,,,,,,
9091,2007-11-30,,,,,,,,,,,,
9092,2007-12-01,,,,,,,,,,,,
9093,2007-12-02,,,,,,,,,,,,
9094,2007-12-03,,,,,,,,,,,,
9095,2007-12-04,,,,,,,,,,,,
9096,2007-12-05,,,,,,,,,,,,
9097,2007-12-06,,,,,,,,,,,,
9098,2007-12-07,,,,,,,,,,,,
9099,2007-12-08,,,,,,,,,,,,
9100,2007-12-09,,,,,,,,,,,,
9101,2007-12-10,,,,,,,,,,,,
9102,2007-12-11,,,,,,,,,,,,
9103,2007-12-12,,,,,,,,,,,,
9104,2007-12-13,,,,,,,,,,,,
9105,2007-12-14,,,,,,,,,,,,
9106,2007-12-15,,,,,,,,,,,,
9107,2007-12-16,,,,,,,,,,,,
9108,2007-12-17,,,,,,,,,,,,
9109,2007-12-18,,,,,,,,,,,,
9110,2007-12-19,,,,,,,,,,,,
9111,2007-12-20,,,,,,,,,,,,
9112,2007-12-21,,,,,,,,,,,,
9113,2007-12-22,,,,,,,,,,,,
9114,2007-12-23,,,,,,,,,,,,
9115,2007-12-24,,,,,,,,,,,,
9116,2007-12-25,,,,,,,,,,,,
9117,2007-12-26,,,,,,,,,,,,
9118,2007-12-27,,,,,,,,,,,,
9119,2007-12-28,,,,,,,,,,,,
9120,2007-12-29,,,,,,,,,,,,
9121,2007-12-30,,,,,,,,,,,,
9122,2007-12-31,,,,,,,,,,,,
9123,2008-01-01,0.0,,,,,0.0,,,,,,
9124,2008-01-02,0.0,,,,,0.0,,,,,,
9125,2008-01-03,0.0,,,,,0.0,,,,,,
9126,2008-01-04,0.0,,,,,0.0,,,,,,
9127,2008-01-05,0.0,,,,,0.0,,,,,,
9128,2008-01-06,0.0,,,,,0.0,,,,,,
9129,2008-01-07,0.0,,,,,0.0,,,,,,
9130,2008-01-08,0.0,,,,,0.0,,,,,,
9131,2008-01-09,0.0,,,,,0.0,,,,,,
9132,2008-01-10,0.0,,,,,0.0,,,,,,
9133,2008-01-11,0.0,,,,,0.0,,,,,,
9134,2008-01-12,0.0,,,,,0.0,,,,,,
9135,2008-01-13,0.0,,,,,0.0,,,,,,
9136,2008-01-14,0.0,,,,,0.0,,,,,,
9137,2008-01-15,0.0,,,,,0.0,,,,,,
9138,2008-01-16,0.0,,,,,0.0,,,,,,
9139,2008-01-17,0.0,,,,,0.0,,,,,,
9140,2008-01-18,0.0,,,,,0.0,,,,,,
9141,2008-01-19,0.0,,,,,0.0,,,,,,
9142,2008-01-20,0.0,,,,,0.0,,,,,,
9143,2008-01-21,0.0,,,,,0.0,,,,,,
9144,2008-01-22,,,,,,,,,,,,
9145,2008-01-23,,,,,,,,,,,,
9146,2008-01-24,,,,,,,,,,,,
9147,2008-01-25,,,,,,,,,,,,
9148,2008-01-26,,,,,,,,,,,,
9149,2008-01-27,0.0,,,,,,,,,,,
9150,2008-01-28,,,,,,,,,,,,
9151,2008-01-29,,,,,,,,,,,,
