,DATEPRD,NPD_WELL_BORE_NAME,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,AVG_WHT_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL
4967,2008-02-12,15/9-F-14,0.0,0.0,0.0,,0.0,0.05885,0.0,0.0,0.0,0.0,
4968,2008-02-13,15/9-F-14,0.0,0.0,0.0,,0.0,0.06768,0.0,0.0,0.0,0.0,
4969,2008-02-14,15/9-F-14,0.0,0.0,0.0,,0.0,0.0495,0.0,0.0,0.0,0.0,
4970,2008-02-15,15/9-F-14,0.0,0.0,0.0,,0.0,0.0664,0.0,0.0,0.0,0.0,
4971,2008-02-16,15/9-F-14,0.0,0.0,0.0,,0.0,0.10479,0.0,0.0,0.0,0.0,
4972,2008-02-17,15/9-F-14,0.0,0.0,0.0,,0.0,0.13571,0.0,0.0,0.0,0.0,
4973,2008-02-18,15/9-F-14,0.0,0.0,0.0,,0.0,0.23359,0.0,0.0,0.0,0.0,
4974,2008-02-19,15/9-F-14,0.0,0.0,0.0,,0.0,0.56651,0.0,0.0,0.0,0.0,
4975,2008-02-20,15/9-F-14,0.0,0.0,0.0,,0.0,0.6135,2e-05,0.0,0.0,0.0,
4976,2008-02-21,15/9-F-14,0.0,0.0,0.0,,0.0,0.73982,0.0,0.0,0.0,0.0,
4977,2008-02-22,15/9-F-14,0.0,0.0,0.0,,0.0,0.99382,0.00015,0.0,0.0,0.0,
4978,2008-02-23,15/9-F-14,0.0,0.0,0.0,,0.0,1.39511,0.0,0.0,0.0,0.0,
4979,2008-02-24,15/9-F-14,0.0,0.0,0.0,,0.0,1.90704,0.0,0.0,0.0,0.0,
4980,2008-02-25,15/9-F-14,0.0,0.0,0.0,,0.0,2.88356,0.0,0.0,0.0,0.0,
4981,2008-02-26,15/9-F-14,0.0,0.0,0.0,,0.0,3.80516,0.0,0.0,0.0,0.0,
4982,2008-02-27,15/9-F-14,0.0,0.0,0.0,,0.0,4.60605,0.0,0.0,0.0,0.0,
4983,2008-02-28,15/9-F-14,0.0,0.0,0.0,,0.0,5.44651,0.0,0.0,0.0,0.0,
4984,2008-02-29,15/9-F-14,0.0,0.0,0.0,,0.0,6.3644,0.0,0.0,0.0,0.0,
4985,2008-03-01,15/9-F-14,0.0,0.0,0.0,,0.0,7.2751,2e-05,0.0,0.0,0.0,
4986,2008-03-02,15/9-F-14,0.0,0.0,0.0,,0.0,8.1182,0.00013,0.0,0.0,0.0,
4987,2008-03-03,15/9-F-14,0.0,0.0,0.0,,0.0,8.94931,0.00301,0.0,0.0,0.0,
4988,2008-03-04,15/9-F-14,0.0,0.0,0.0,,0.0,9.72088,0.00604,0.0,0.0,0.0,
4989,2008-03-05,15/9-F-14,0.0,0.0,0.0,,0.0,10.7844,0.0,0.0,0.0,0.0,
4990,2008-03-06,15/9-F-14,0.0,0.0,0.0,,0.0,11.91114,0.0,0.0,0.0,0.0,
4991,2008-03-07,15/9-F-14,0.0,0.0,0.0,,0.0,12.87469,0.0,0.0,0.0,0.0,
4992,2008-03-08,15/9-F-14,0.0,0.0,0.0,,0.0,13.91169,0.0,0.0,0.0,0.0,
4993,2008-03-09,15/9-F-14,0.0,0.0,0.0,,0.0,14.996,0.0,0.0,0.0,0.0,
4994,2008-03-10,15/9-F-14,0.0,0.0,0.0,,0.0,15.85424,0.0,0.0,0.0,0.0,
4995,2008-03-11,15/9-F-14,0.0,0.0,0.0,,0.0,16.27521,0.0,0.0,0.0,0.0,
4996,2008-03-12,15/9-F-14,0.0,0.0,0.0,,0.0,16.49341,0.0,0.0,0.0,0.0,
4997,2008-03-13,15/9-F-14,0.0,0.0,0.0,,0.0,17.86627,0.0,0.0,0.0,0.0,
4998,2008-03-14,15/9-F-14,0.0,0.0,0.0,,0.0,25.39629,3e-05,0.0,0.0,0.0,
4999,2008-03-15,15/9-F-14,0.0,0.0,0.0,,0.0,31.41855,0.0,0.0,0.0,0.0,
5000,2008-03-16,15/9-F-14,0.0,0.0,0.0,,0.0,31.15885,0.0,0.0,0.0,0.0,
5001,2008-03-17,15/9-F-14,0.0,0.0,0.0,,0.0,30.95724,0.00101,0.0,0.0,0.0,
5002,2008-03-18,15/9-F-14,0.0,0.0,0.0,,0.0,30.90056,0.00083,0.0,0.0,0.0,
5003,2008-03-19,15/9-F-14,0.0,0.0,0.0,,0.0,30.56417,0.00045,0.0,0.0,0.0,
5004,2008-03-20,15/9-F-14,0.0,0.0,0.0,,0.0,30.31562,0.00026,0.0,0.0,0.0,
5005,2008-03-21,15/9-F-14,0.0,0.0,0.0,,0.0,30.22878,0.00091,0.0,0.0,0.0,
5006,2008-03-22,15/9-F-14,0.0,0.0,0.0,,0.0,30.39496,0.0023,0.0,0.0,0.0,
5007,2008-03-23,15/9-F-14,0.0,0.0,0.0,,0.0,30.5011,0.00658,0.0,0.0,0.0,
5008,2008-03-24,15/9-F-14,0.0,0.0,0.0,,0.0,30.51044,0.00936,0.0,0.0,0.0,
5009,2008-03-25,15/9-F-14,0.0,0.0,0.0,,0.0,30.58097,0.00785,0.0,0.0,0.0,
5010,2008-03-26,15/9-F-14,0.0,0.0,0.0,,0.0,17.85681,0.00215,0.0,0.0,0.0,
5011,2008-03-27,15/9-F-14,0.0,0.0,0.0,,0.0,1.48369,0.00319,0.0,0.0,0.0,
5012,2008-03-28,15/9-F-14,0.0,0.0,0.0,,0.0,1.1368,0.00089,0.0,0.0,0.0,
5013,2008-03-29,15/9-F-14,0.0,0.0,0.0,,0.0,26.05963,0.0,0.0,0.0,0.0,
5014,2008-03-30,15/9-F-14,0.0,0.0,0.0,0.0,0.0,21.26599,0.0,0.0,0.0,0.0,
5015,2008-03-31,15/9-F-14,0.0,0.0,0.0,,0.0,3.19978,0.0,0.0,0.0,0.0,
5016,2008-04-01,15/9-F-14,0.0,0.0,0.0,,0.0,30.42127,0.0,0.0,0.0,0.0,
5017,2008-04-02,15/9-F-14,0.0,0.0,0.0,,0.0,30.706,0.0,0.0,0.0,0.0,
5018,2008-04-03,15/9-F-14,0.0,0.0,0.0,,0.0,30.68292,0.0,0.0,0.0,0.0,
5019,2008-04-04,15/9-F-14,0.0,0.0,0.0,,0.0,30.70992,0.0,0.0,0.0,0.0,
5020,2008-04-05,15/9-F-14,0.0,0.0,0.0,,0.0,30.81608,0.0,0.0,0.0,0.0,
5021,2008-04-06,15/9-F-14,0.0,0.0,0.0,,0.0,31.57922,0.0,0.0,0.0,0.0,
5022,2008-04-07,15/9-F-14,0.0,0.0,0.0,,0.0,31.37773,0.0,0.0,0.0,0.0,
5023,2008-04-08,15/9-F-14,0.0,0.0,0.0,,0.0,31.39354,0.0,0.0,0.0,0.0,
5024,2008-04-09,15/9-F-14,0.0,0.0,0.0,,0.0,31.07492,0.0,0.0,0.0,0.0,
5025,2008-04-10,15/9-F-14,0.0,0.0,0.0,,0.0,31.26225,0.0,0.0,0.0,0.0,
5026,2008-04-11,15/9-F-14,0.0,0.0,0.0,,0.0,31.2329,0.0,0.0,0.0,0.0,
5027,2008-04-12,15/9-F-14,0.0,0.0,0.0,,0.0,17.79576,0.0,0.0,0.0,0.0,
5028,2008-04-13,15/9-F-14,0.0,0.0,0.0,,0.0,2.29245,0.0,0.0,0.0,0.0,
5029,2008-04-14,15/9-F-14,0.0,0.0,0.0,,0.0,11.35049,0.0,0.0,0.0,0.0,
5030,2008-04-15,15/9-F-14,0.0,0.0,0.0,,0.0,28.72326,0.0,0.0,0.0,0.0,
5031,2008-04-16,15/9-F-14,0.0,0.0,0.0,,0.0,31.10648,0.0,0.0,0.0,0.0,
